Technical,Twitter,Personality,Predicted Career
Null,Null,ISTJ,Property manager
Null,Null,ISFJ,Account manager
Null,Null,INFJ,Nutritionist
Null,Null,INTJ,Psychiatrist
Null,Null,ISTP,Health inspector
Null,Null,ISFP,Social media manager
Null,Null,INFP,Nurse practitioner
Null,Null,INTP,Biomedical engineer
Null,Null,ESTP,Athletic trainer
Null,Null,ESFP,Host/hostess
Null,Null,ENFP,Sales representative
Null,Null,ENTP,Psychologist
Null,Null,ESTJ,Business development manager
Null,Null,ESFJ,Choreographer
Null,Null,ENFJ,Art director
Null,Null,ENTJ,Public relations specialist
Null,Null,ISTJ,Civil engineer
Null,Null,ISFJ,Showroom designer
Null,Null,INFJ,Physical therapist
Null,Null,INTJ,Accountant
Null,Null,ISTP,Investment banker
Null,Null,ISFP,Veterinarian
Null,Null,INFP,Graphic designer
Null,Null,INTP,Biomedical engineer
Null,Null,ESTP,Entrepreneur
Null,Null,ESFP,Event planner
Null,Null,ENFP,Waiter
Null,Null,ENTP,Attorney
Null,Null,ESTJ,Police officer
Null,Null,ESFJ,Media planner
Null,Null,ENFJ,Photographer
Null,Null,ENTJ,Budget analyst
Null,police,ISTJ,Actuary
Null,police,ISFJ,Research analyst
Null,police,INFJ,HR manager
Null,police,INTJ,Psychiatrist
Null,police,ISTP,Mechanic
Null,police,ISFP,Veterinarian
Null,police,INFP,Museum curator
Null,police,INTP,Computer systems analyst
Null,police,ESTP,Marketer
Null,police,ESFP,Retail salesperson
Null,police,ENFP,Choreographer
Null,police,ENTP,Chemist
Null,police,ESTJ,Sales representative
Null,police,ESFJ,Bookkeeper
Null,police,ENFJ,Motivational speaker
Null,police,ENTJ,Insurance agent
Null,hr,ISTJ,Curator
Null,hr,ISFJ,Financial clerk
Null,hr,INFJ,Physical therapist
Null,hr,INTJ,Statistician
Null,hr,ISTP,Chef
Null,hr,ISFP,Veterinarian
Null,hr,INFP,Fundraising manager
Null,hr,INTP,Professor
Null,hr,ESTP,Sales manager
Null,hr,ESFP,Pediatrician
Null,hr,ENFP,Sales representative
Null,hr,ENTP,Business trainer
Null,hr,ESTJ,Police officer
Null,hr,ESFJ,Choreographer
Null,hr,ENFJ,Editor
Null,hr,ENTJ,Insurance agent
Null,security,ISTJ,Proofreader
Null,security,ISFJ,Financial clerk
Null,security,INFJ,HR manager
Null,security,INTJ,Business strategist
Null,security,ISTP,Airline pilot
Null,security,ISFP,Translator
Null,security,INFP,Museum curator
Null,security,INTP,Producer
Null,security,ESTP,Paramedic
Null,security,ESFP,Firefighter
Null,security,ENFP,Choreographer
Null,security,ENTP,Chemist
Null,security,ESTJ,Police officer
Null,security,ESFJ,Choreographer
Null,security,ENFJ,Sociologist
Null,security,ENTJ,Database administrator
Null,artist,ISTJ,Loan officer
Null,artist,ISFJ,Customer service representative
Null,artist,INFJ,School counselor
Null,artist,INTJ,Managing editor
Null,artist,ISTP,Chef
Null,artist,ISFP,Translator
Null,artist,INFP,Archivist
Null,artist,INTP,Web developer
Null,artist,ESTP,Marketer
Null,artist,ESFP,Host/hostess
Null,artist,ENFP,Campaign manager
Null,artist,ENTP,Systems analyst
Null,artist,ESTJ,Military officer
Null,artist,ESFJ,Bookkeeper
Null,artist,ENFJ,Market research analyst
Null,artist,ENTJ,Budget analyst
Null,actor,ISTJ,Loan officer
Null,actor,ISFJ,Administrative manager
Null,actor,INFJ,Animator
Null,actor,INTJ,Architect
Null,actor,ISTP,Investment banker
Null,actor,ISFP,Translator
Null,actor,INFP,Geographer
Null,actor,INTP,Web developer
Null,actor,ESTP,Marketer
Null,actor,ESFP,Cosmetologist
Null,actor,ENFP,Campaign manager
Null,actor,ENTP,Environmental scientist
Null,actor,ESTJ,Police officer
Null,actor,ESFJ,Court reporter
Null,actor,ENFJ,Editor
Null,actor,ENTJ,Judge
Null,medical,ISTJ,Actuary
Null,medical,ISFJ,Elementary teacher
Null,medical,INFJ,HR manager
Null,medical,INTJ,Architect
Null,medical,ISTP,Economist
Null,medical,ISFP,Archaeologist
Null,medical,INFP,Museum curator
Null,medical,INTP,Composer
Null,medical,ESTP,Sales manager
Null,medical,ESFP,Retail salesperson
Null,medical,ENFP,Real estate agent
Null,medical,ENTP,Financial planner
Null,medical,ESTJ,Real estate agent
Null,medical,ESFJ,Media planner
Null,medical,ENFJ,Physical therapist
Null,medical,ENTJ,Judge
Null,writing,ISTJ,Attorney
Null,writing,ISFJ,Research analyst
Null,writing,INFJ,Professor
Null,writing,INTJ,Architect
Null,writing,ISTP,Management consultant
Null,writing,ISFP,Archaeologist
Null,writing,INFP,Journalist
Null,writing,INTP,Composer
Null,writing,ESTP,Surveyor
Null,writing,ESFP,Firefighter
Null,writing,ENFP,Choreographer
Null,writing,ENTP,Systems analyst
Null,writing,ESTJ,Hotel manager
Null,writing,ESFJ,Court reporter
Null,writing,ENFJ,Art director
Null,writing,ENTJ,Database administrator
Null,architect,ISTJ,Medical technician
Null,architect,ISFJ,Account manager
Null,architect,INFJ,Massage therapist
Null,architect,INTJ,Architect
Null,architect,ISTP,Economist
Null,architect,ISFP,Dietician
Null,architect,INFP,Graphic designer
Null,architect,INTP,Computer systems analyst
Null,architect,ESTP,Stockbroker
Null,architect,ESFP,Event planner
Null,architect,ENFP,Campaign manager
Null,architect,ENTP,Psychologist
Null,architect,ESTJ,Police officer
Null,architect,ESFJ,Office manager
Null,architect,ENFJ,Real estate broker
