Text,Class
"Kalitta Air 747-400F touching down Rwy 15 ANC.
#avgeek #aviationphotography #planespotting #aviation ",2
"RT Who is ready for lunchThis moose isThanks for sending in the video Scott V.

Scott wrote ""Fathers Day afternoon drive up t…",2
RT Guam's Asia Pacific Airlines retires last B727Asia Pacific Airlines (Guam(P9Guam Int'lretired its last B727-200(F)…,2
_killcare You think they'll survive the Asian/Middle East onslaught?,2
Captain 's 747-8F N610UP as #UPS61 touching down Rwy 15 ANC inbound from TaipeiHer FO was the pilot flyi,2
Just another day in Anchorage.,2
RT Spitfire spits fire ✈,2
UPS MD-11 so slow on final Rwy 33 with a strong crosswind..Rwy 33 arrivals are not common unless it's ACE Beech 190,2
 He is,2
"No airshow this year due to the rona..bummerThunderbirds at the 2018  Arctic Thunder Open House
#avgeek",2
 It still is I think.,2
 It is..So he's still based out of Entebbe with SkylinkI know they are in the Sharjah area quite a bit too.,2
 I met Niel in NBO cyclingwas out cycling too.,2
"Polar Air 747-400F N450PA taxiing on Yankee on arrival Rwy 15 from CVG..see the Captain waving?
#avgeek",2
  Not sure,2
 These guys have 2.,2
The dodgy 🇰registered 727 5Y-GMA that previously had blue 'Safe Airon the sidesKeeps popping up in Middle Eas,2
RT Lions at NAIROBI NATIONAL PARK watching destruction of their habitat to pave way for an EXPRESS ROADSaddest picture on the…,2
Atlas ghost 777F brought out of storage in Leipzig Apr'20 for the Covid mad rush firing up the GE-90 for the trip t,2
 Top of the hill is inside the perimeter fence.,2
Last week heard ANC tower talking to 'Snowbird 6'looked it up and it's an Australian Victoria Police Eurocopter E,2
Came after work to catch a Polar Air buddy who brought in 450PA from CVGstayed to catch a few 15 arrivalsAlaska,2
RT Tomorrow morning (7:00 a.m3:00 p.m.)runway paintinggeneral maintenanceand safety inspections will continue on the…,2
"RT Landed at Louisville !#Delivered #B7478F #UPS 
_Spotter ",2
RT The newest addition to the  fleet arriving at SDF this eveningN621UPa brand new Boeing 747-8F completing…,2
 NoI haven't seen this one,2
  It's a rare plane in Anchorage you see one every so often.,2
Something you don't see often in Anchorage.probably crossing the pond as a replacement for the Asia routes.,2
RT _russellAlaska Airlines will begin flying the E175 (opb Horizon Airin the state of Alaska in OctoberFairbanksKing Salmon and D…,2
Cargolux 747-400F on short final Rwy 15 ANCThey been super busyNever seen so many of their -400s on the HKG and,2
"This 'Into tge wildbus meant that much to that many peopleI'm surprised
#AvGeek #IntoTheWild ",2
 Noit's Palmer an hour NE of Anchorage,2
 Not yetmight separate tooWill see..,2
 Next year,2
 Thanksit's Popcorn by Fugue.,2
All planes and no play makes Mark a dull boy..Hatcher PassIndependence MineSummit Lake for Father's Day outing.,2
RT Like FatherLike SonThis monthour Captain Peter Maranga had the special treat of operating his retirement flight wit…,2
RT Althoughthe topic of the podcast was about life as a cargo pilot during the age of Covidthe topic turned midstream throug…,2
 Willow?,2
RT Plane crashes nose into ground ✈,2
"Desert Air DC-3 touching down Rwy 7L at ANC.Desert has at least 3 of these birds
#avgeek #aviationphotography",2
RT   Meanwhile I was reading this ABC reportand guess who has been questioned on freighter's industry unde…,2
RT I take it you have seen this ⁦_J,2
I get off workget home and see  is departing for HKG.Look up FRtried to get there before take off 1658,2
German registered VIP A319-100 D-APGS showed up in Anchorage yesterday probably on a stopover crossing the pond.,2
The famous Stampede Road Trail.,2
RT Antonov An 225 night landing ✈,2
This Bombardier Global 6000 came from SubangMalaysia via Incheon and Anchorage headed for PittsburghPennsylvani,2
 How far can you drive down the roadI'll check it out next time I'm in Denali.,2
Apparently only 2 people have died from the Stampede Trail hike but quite a few rescues..see thread below the commo,2
RT Flight to nowhere..After 8h30mBritish Airways #BA65 London Heathrow to Nairobi (Boeing 777-200ER G-YMMJhas just r…,2
 The movie 'Into the wild',2
Courtesy of Alaska National Guardthe 'Into the wildbus was removed from the Stampede Trail by a Chinook CH-47.,2
  At least for nowmight be back after maintenance,2
RT LIVEBritish Airways #BA65 London Heathrow to Nairobi (Boeing 777-200ER G-YMMJhas turned back near Cairo and is pres…,2
 That's good..Lots of TDYs and deploymentsThey are always on the move.,2
 Someone who works on it was saying high radiation is a thing from the dome?,2
 Felt it in the office.,2
RT Preliminary M4.3 about 6 miles south of GirdwoodOur duty seismologist is working on itPlease fill out any DYFI report…,2
Saw it was delivered in MIA in Oct 2012,2
"Bombardier CL-415 fun facts
#avgeek #aviationphotography #planespotting #aviation ",2
Courtesy of Fairbanks Airport PoliceBombardier CL-415 'Super Scooperin action in FairbanksApparently only 4 a,2
Is that one from Alaska or Oklahoma,2
"The Air Force coal burner aka E-3 Sentry   doing it's thing over Anchorage.
#avgeek #aviationphotography",2
 Ohok.,2
 I always try to keep my distance and be aware of surroundingsOne with a baby tried to attack my tripod sometime last year.,2
RT #NEWS Gulfstream has sold the last commercially available #G550 and will begin winding down production of the iconic…,2
 Maybe they'll return it at some point,2
Another TUI 757 headed for conversion into a freighter.,2
 No one knows.just hope it comes back after some TLC.,2
 That's goneenjoyed it while we could 🛫,2
The winner into Anchorage last night was Cargolux 747-400F (Beluga Whale Sanctuary Liveryinbound from Zhengzhou..,2
 Should be the same spot there are resident moose all yearThey own that turfI've been lucky.,2
RT We're pleased to now be operating #KQCargo to Sharjah International Airport ,2
 That explains ithadn't seen it up here in a whileThey've been sending a -400Thanks.,2
Ex Latam Cargo Chile 777F now operated by Southern Air applying some butter on 15 inbound from HKG..my spot after t,2
Things you don't want to mess with in Alaska..A mama moose with a babyLuckily she was kind enough to vacate my sp,2
Went to catch 'Panalpina Livery N850GT &ampto my disappointment this landed 😳.I guess their contract is over and it,2
 Wow that's a new routing I haven't seen beforeProbably empty or very light.,2
 You catch those that you can..not very exciting anymoreMaybe the IL-76.,2
 I have a hand held radio for ATC.,2
Too many AN-124s coming through Anchorage these days..UR-82009 is the only one with the chevron nozzles on the engi,2
 Unioshe/nioshe is wash meunioshee is wash for me,2
I went back to check out the 1952 Super DC-3 on day 2They have 2 operational ones and quite a few others used for,2
RT One of the coolest airplanes we get at  is this almost daily #Convair640 from HermosilloMXThis particular on…,2
RT MD-80 does pushback using reverse thrust ✈,2
7L departures over the city as they paint 15/33,2
" Cool,This is also aerobatic certified.he did some impressive displays although FAA doesn't allow for fu",2
"The variety of tail draggers on display at the Wasilla fly in airshow this past weekend.
#avgeek",2
RT BREAKINGUSAF F-15C Eagle has crashed in the North SeaA major search is now underway for the pilotThe aircraftfr…,2
Missing man formation to close the Wasilla fly in airshow for a recently departed Captain who flew for Lynden and A,2
This Air Tractor is quite a beastin addition to spraying crops it is an air tanker hauling 700 gallons to interio,2
"Interesting 'Flying FishM-18A Mielec crop duster operated by Palmer based Glenn Air.
#avgeek #aviationphotography",2
"More action from the airshow in Wasilla 
#avgeek #aviationphotography #planespotting #aviation ",2
"In Wasilla again for the final day of the fly in airshow 
#avgeek #aviationphotography #planespotting #aviation ",2
        ,2
"These Trans Northern Super DC-3 cockpit..old school with a few upgrades
#avgeek #aviationphotography #planespotting",2
 It is with 737s,2
A parked Douglas DC-4 at Wasilla airportthe last time the engines were kibda intactProbably used for parts,2
Ex Ken BorekTrans Northern Super DC-3 at the Wasilla fly in airshow.didn't know there is a DC-3 and Super DC-3,2
"Wasilla fly in airshow..STOL competitors
#avgeek #aviationphotography #planespotting #aviation ",2
        I just s,2
 *rudder,2
When Rwy 33 ANC is used for arrivals it's usually gusting pretty goodYou can barely hold the camera steadyCat,2
RT  That was the one I was referencing when you originally posted the long run Beaver June 2009 The NTSB deter…,2
 Fitting after market stuff,2
 Empty,2
RT This Antonov 124-100 made another visit into Perth Airport this week delivering equipment for our mining industryShe fl…,2
RT Looks like Emirates has retired its first Airbus A380 (A6-EDB)12.2 years.,2
 No ideaI hadn't seen it before,2
Lake Hood.just like the loong run Beaver ,2
 I'll come and check out KIX one day.ANC has mainly 747s,2
 NoThey don't fly hereOnly to Guangzhou and Bangkok in the terrain region,2
RT Let’s end the week with some heavy action#stillthequeen 👑,2
 Kenya Airways in the background,2
RT _SpotterVoluptuous Queen of the sky Dream lifting you into the weekend#N747BC #Dreamlifter finishes up her long flight from Nag…,2
 maybe?,2
These 2 ADB AN-124s flew into PAED last year from Tel Aviv via Keflavik.They are regular visitors nowadays here i,2
RT An-225 wing wave from Shannon Airport today ,2
"EVA Air 777F touching down Rwy 7R in a cloud of condensation
#avgeek #aviationphotography #planespotting #aviation ",2
RT An incredible landing captured today up North #nolinor #perfectlanding #boeing #aviation #landing #plane ,2
 Wow 🤐..keep those notesYou never when they'll come in handy,2
 WhyThe winter?,2
 Nicehave heard alot about itFamous for short tours,2
 Where is thatGreenland?,2
