Text,Class
is upset that he can't update his Facebook by texting it..and might cry as a result  School today alsoBlah!,1
 I dived many times for the ballManaged to save 50 The rest go out of bounds,1
my whole body feels itchy and like its on fire ,1
 noit's not behaving at alli'm madwhy am i herebecause I can't see you all over there,1
 not the whole crew ,1
Need a hug ,1
" hey  long time no seeYes.Rains a bit ,only a bit  LOL I'm fine thanks how's you ?",1
_K nope they didn't have it ,1
 que me muera ,1
spring break in plain city..it's snowing ,1
I just re-pierced my ears ,1
 I couldn't bear to watch it And I thought the UA loss was embarrassing .,1
 It it countsidk why I did eitheryou never talk to me anymore ,1
 i would've been the firstbut i didn't have a gun   not really thoughzac snyder's just a doucheclown.,1
 I wish I got to watch it with you!I miss you and   how was the premiere?!,1
Hollisdeath scene will hurt me severely to watch on film  wry is directors cut not out now?,1
about to file taxes ,1
 ahh ive always wanted to see rent  love the soundtrack!!,1
 Oh dearWere you drinking out of the forgotten table drinks,1
 i was out most of the day so didn't get much done ,1
one of my friend called meand asked to meet with her at Mid Valley today...but i've no time *sigh,1
_barista I baked you a cake but I ated it ,1
this week is not going as i had hoped ,1
blagh class at 8 tomorrow ,1
I hate when I have to call and wake people up ,1
Just going to cry myself to sleep after watching Marley and Me ,1
im sad now  Miss.Lilly,1
ooooh...LOL  that leslie...and ok I won't do it again so leslie won't  get mad again ,1
Meh..Almost Lover is the exception..this track gets me depressed every time,1
some1 hacked my account on aim  now i have to make a new one,1
 I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,1
thought sleeping in was an option tomorrow but realizing that it now is notevaluations in the morning and work in the afternoon,1
 awe i love you too!!!1 am here  i miss you,1
 I cry my asian eyes to sleep at night ,1
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champBED now ,1
 ill tell ya the story later  not a good day and ill be workin for like three more hours...,1
 sorrybed time came here (GMT+1  ,1
 I don't eitherIts depressingI don't think I even want to know about the kids in suitcases,1
BedClass 8-12Work 12-3Gym 3-5 or 6Then class 6-10Another day that's gonna fly byI miss my girlfriend ,1
really don't feel like getting up today..but got to study to for tomorrows practical exam..,1
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,1
SadsadsadI don't know why but I hate this feeling  I wanna sleep and I still can't!,1
 Awww I soo wish I was there to see you finally comfortableIm sad that I missed it ,1
Falling asleepJust heard about that Tracy girl's body being foundHow sad  My heart breaks for that family.,1
 YayI'm happy for you with your jobBut that also means less time for me and you..,1
Just checked my user timeline on my blackberryit looks like the twanking is still happening  Are ppl still having probs wBGs and UIDs?,1
Oh man...was ironing 's fave top to wear to a meetingBurnt it ,1
is strangely sad about LiLo and SamRo breaking up,1
 ohi'm so sorry  i didn't think about that before retweeting.,1
Broadband plan 'a massive broken promise via www.diigo.com/~tautao Still waiting for broadband we are ,1
 Wowtons of replies from youmay have to unfollow so I can see my friendstweetsyou're scrolling the feed a lot,1
our duck and chicken are taking wayyy too long to hatch ,1
Put vacation photos online a few yrs agoPC crashedand now I forget the name of the site,1
I need a hug ,1
 Not sure what they areonly that they are PoSAs much as I want toI dont think can trade away company assets sorry andy,1
 I hate when that happens..,1
I have a sad feeling that Dallas is not going to show up  I gotta say thoughyou'd think more shows would use music from the gamemmm,1
Ugh....92 degrees tomorrow ,1
Where did u move to I thought u were already in sd?HmmmRandom u found meGlad to hear yer doing well.,1
 I miss my ps3it's out of commission  Wutcha playingHave you copped 'Blood On The Sand'?,1
just leaving the parking lot of work,1
The Life is coolBut not for Me,1
Sadly thoughI've never gotten to experience the post coitus cigarette beforeand now I never will,1
I had such a nice dayToo bad the rain comes in tomorrow at 5am ,1
 too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,1
Damm back to school tomorrow ,1
Mo jobsno money how in the hell is min wage here 4 f'n clams an hour?,1
  Not forever..See you soon!,1
_Algonquin agreedI saw the failwhale allllll day today,1
 OhHaha..dude I dont really look at em unless someone says HEY I ADDED YOUSorry  I'm so terrible at thatI need a pop up!,1
 I'm sure you're right..   I need to start working out with you and the Nikster..Or Jared at least!,1
i really hate how people diss my bands Trace is clearly NOT ugly!,1
Gym attire today wasPuma singletAdidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.,1
Why won't you show my location?  ,1
No picnic  my phone smells like citrus.,1
 My donkey is sensitive about such commentsNeverthelesshe'd (and me'dbe glad to see your mug asapCharger is still awol,1
No new csi tonight FML,1
i think my arms are sore from tennis ,1
wonders why someone that u like so much can make you so unhappy in a split seccond depressed ,1
sleep soon..i just hate saying bye and see you tomorrow for the night,1
 just got ur newsletterthose fares really are unbelievableshame I already booked and paid for mine ,1
missinthe boo ,1
 Me too  #itm,1
Damn..I don't have any chalkMY CHALKBOARD IS USELESS ,1
had a blast at the Getty Villabut hates that she's had a sore throat all dayIt's just getting worse too ,1
 hey missed ya at the meeting  sup mama,1
My tummy hurts I wonder if the hypnosis has anything to do with itIf soit's workingI get itSTOP SMOKING!!!,1
why is it always the fat ones?,1
 Sorrybabe! My fam annoys me tooThankfullythey're asleep right nowMuahaha*evil laugh*,1
 I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,1
wednesday my b-daydon't know what 2 do!,1
Poor cameron (the hills,1
pray for me pleasethe ex is threatening to start sh*at my/our babies 1st Birthday partywhat a jerkand I still have a headache ,1
 hmm  do u really enjoy being with him if the problems are too constants u should think things more find someone ulike,1
Strider is a sick little puppy  ,1
"so rylee,grace...wana go steve's party or not?SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",1
heyI actually won one of my bracket poolsToo bad it wasn't the one for money ,1
 YOU don't follow meeither  and i work for you!,1
A bad nite for the favorite teamsAstros and Spartans lose The nite out with T.Wwas good.,1
 Body Of Missing Northern CalifGirl FoundPolice have found the remains of a missing Northern California girl .,1
 I hope they will increase the capacity fastyesterday was such a painGot the fail whale +15 times in 2 hours...,1
Behind on my classes for work ,1
watching &quot;House&quot,1
 Remember my bum legStrikes back this time its serious ,1
 cooli willtheir are all kinds of complaints about this laptop online about overheatingbut no recalls ,1
Emily will be glad when Mommy is done training at her new jobShe misses her ,1
would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,1
 it's overrated ,1
_q i knowI heard it this afternoon and wondered the same thingMoscow is so behind the times ,1
laying in bed with no voice.,1
I'm sooo sad!!they killed off Kutner on House  whyyyyyyyy,1
 Sorry  tell them mea culpa from me and that I really am sorry.,1
 it didn't make any sense to methe suicide thingI refuse to believe that that is actually what happened,1
  hope your ok.,1
 DamnThe grind is inspirational and saddening at the same time Don't want you to stop cuz I like what u doMuch love,1
 yeah aw but i know i wudnt stand a chance ,1
ughcant sleepits 1:30am,1
Hanging in CroonersWanna singCan'tSucks,1
_sC aaw i miss ya all too.im leaving to BH tomorrow &quot;morning&quoti think.aww i wanna go to the beach w u girls!,1
Is pissed off that there's no ASBA's for a radio station,1
wednesday my b-day n don't know what 2 do ,1
I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good,1
I am in painMy back and sides hurtNot to mention crying is made of fail,1
Late night snackglass of OJ b/c I'm &quot;down with the sickness&quot;then back to sleep...ugh I hate getting sick..,1
 but.but.but.I'm not a big fan on camilla belle ,1
 WAH I can't see clipmust be el-stupido work filtersCan't wait 'till I get a 'puterSomething else 2 blame ex 4He broke mine ,1
This week just seems to get longer and longer in terms of how much I need to do.and how much I'm actually going to get done ,1
I'm so cold ,1
 Ehhh don'tWeather's gonna take a turn for the ugly tomorrow ,1
 haha its so cooooold in the dand no  but you should still go to the showthey do some incredible stuff,1
Hoping the tummy rumbles go away soon ,1
Nono noticeThey told me I'd be working tomorrowand then I called the agency to follow up and they said it was over,1
almost bedtime ,1
